Dunnock,Prunella,modularis
Razorbill,Alca,torda
Puffin,Fratercula,arctica
Guillemot,Uria,aalge
Gannet,Morus,bassanus
Yellowhammer/Yellow yorlin,Emberiza,citrinella
Reed bunting,Emberiza,schoeniclus
Wheatear,Oenanthe,oenanthe
Redstart,Phoenicurus,phoenicurus
Stonechat,Saxicola,rubicola
Shag,Gulosus,aristotelis
Hooded crow,Corvus,cornix
Carrion crow,Corvus,corone
Rook,Corvus,frugilegus
Jackdaw,Corvus,monedula
Jay,Garrulus,glandarius
Magpie/Pyot,Pica,pica
Teal,Anas,crecca
Wigeon,Anas,penelope
Mallard,Anas,platyrhynchos
Greylag goose,Anser,anser
Pink-footed goose,Anser,brachyrhynchus
Tufted duck,Aythya,fuligula
Brent goose/Brant,Branta,bernicla
Canada goose,Branta,canadensis
Common scoter,Melanitta,nigra
Lesser redpoll,Acanthis,cabaret
Goldfinch,Carduelis,carduelis
Siskin,Carduelis,spinus
Greenfinch,Chloris,chloris
Chaffinch/Shelfie,Fringilla,coelebs
Brambling,Fringilla,montifringilla
Linnet,Linaria,cannabina
Bullfinch,Pyrrhula,pyrrhula
Red grouse,Lagopus,lagopus
Black-headed gull,Chroicocephalus,ridibundus
Herring gull,Larus,argentatus
Common gull,Larus,canus
Lesser black-backed gull,Larus,fuscus
Kittiwake,Rissa,tridactyla
Arctic tern,Sterna,paradisaea
Goldcrest,Regulus,regulus
Buzzard,Buteo,buteo
Skylark,Alauda,arvensis
Long-tailed tit,Aegithalos,caudatus
Nuthatch,Sitta,europaea
Robin,Erithacus,rubecula
House sparrow,Passer,domesticus
Tree sparrow,Passer,montanus
Tawny owl,Strix,aluco
Oystercatcher/Mussel picker,Haematopus,ostralegus
Fulmar,Fulmarus,glacialis
Manx shearwater,Puffinus,puffinus
Red-legged partridge,Alectoris,rufa
Pheasant,Phasianus,colchicus
Rock dove/Feral pigeon,Columba,livia
Stock dove,Columba,oenas
Woodpigeon,Columba,palumbus
Collared dove,Streptopelia,decaocto
Meadow pipit,Anthus,pratensis
Tree pipit,Anthus,trivialis
Pied wagtail,Motacilla,alba
Golden plover,Pluvialis,apricaria
Lapwing/Peewit,Vanellus,vanellus
Eurasian coot,Fulica,atra
Moorhen,Gallinula,chloropus
Dunlin,Calidris,alpina
Knot,Calidris,canutus
Snipe,Gallinago,gallinago
Jack snipe,Lymnocryptes,minimus
Curlew,Numenius,arquata
Woodcock,Scolopax,rusticola
Redshank,Tringa,totanus
Starling,Sturnus,vulgaris
House martin,Delichon,urbicum
Swallow,Hirundo,rustica
Sand martin,Riparia,riparia
Swift,Apus,apus
Redwing,Turdus,iliacus
Blackbird,Turdus,merula
Song thrush,Turdus,philomelos
Fieldfare,Turdus,pilaris
Mistle thrush,Turdus,viscivorus
Blue tit,Cyanistes,caeruleus
Great tit,Parus,major
Coal tit,Periparus,ater
Treecreeper,Certhia,familiaris
Sedge warbler,Acrocephalus,schoenobaenus
Reed warbler,Acrocephalus,scirpaceus
Whitethroat,Curruca,communis
Lesser whitethroat,Curruca,curruca
Chiffchaff,Phylloscopus,collybita
Willow warbler,Phylloscopus,trochilus
Blackcap,Sylvia,atricapilla
Garden warbler,Sylvia,borin
Great spotted woodpecker,Dendrocopos,major
Wren,Troglodytes,troglodytes
Black guillemot,Cepphus,grylle
Avocet,Recurvirostra,avosetta
Bearded tit,Panurus,biarmicus
Corn bunting,Emberiza,calandra
Cirl bunting,Emberiza,cirlus
Snow bunting,Plectrophenax,nivalis
Nightingale,Luscinia,megarhynchos
Whinchat,Saxicola,rubetra
Cormorant,Phalacrocorax,carbo
Common raven,Corvus,corax
Chough,Pyrrhocorax,pyrrhocorax
Cuckoo,Cuculus,canorus
Dipper,Cinclus,cinclus
Great northern diver,Gavia,immer
Red-throated diver,Gavia,stellata
Mandarin duck,Aix,galericulata
Egyptian goose,Alopochen,aegyptiaca
Pintail,Anas,acuta
Shoveler,Anas,clypeata
Gadwall,Anas,strepera
White-fronted goose,Anser,albifrons
Pochard,Aythya,ferina
Scaup,Aythya,marila
Barnacle goose,Branta,leucopsis
Goldeneye,Bucephala,clangula
Long-tailed duck,Clangula,hyemalis
Bewick's swan,Cygnus,columbianus
Whooper swan,Cygnus,cygnus
Mute swan,Cygnus,olor
Velvet scoter,Melanitta,fusca
Goosander,Mergus,merganser
Red-breasted merganser,Mergus,serrator
Eider,Somateria,mollissima
Shelduck,Tadorna,tadorna
Merlin,Falco,columbarius
Peregrine falcon,Falco,peregrinus
Hobby,Falco,subbuteo
Kestrel,Falco,tinnunculus
Hawfinch,Coccothraustes,coccothraustes
Twite,Linaria,flavirostris
Crossbill,Loxia,curvirostra
Scottish crossbill,Loxia,scotica
Great crested grebe,Podiceps,cristatus
Little grebe,Tachybaptus,ruficollis
Ptarmigan,Lagopus,muta
Black grouse,Tetrao,tetrix
Great black-backed gull,Larus,marinus
Mediterranean gull,Larus,melanocephalus
Common tern,Sterna,hirundo
Sandwich tern,Sterna,sandvicensis
Little tern,Sternula,albifrons
Grey heron,Ardea,cinerea
Little egret,Egretta,garzetta
Kingfisher,Alcedo,atthis
Firecrest,Regulus,ignicapillus
Goshawk,Accipiter,gentilis
Sparrowhawk,Accipiter,nisus
Golden eagle,Aquila,chrysaetos
Marsh harrier,Circus,aeruginosus
Hen harrier,Circus,cyaneus
Red kite/Gled,Milvus,milvus
Woodlark,Lullula,arborea
Nightjar,Caprimulgus,europaeus
Pied flycatcher,Ficedula,hypoleuca
Spotted flycatcher,Muscicapa,striata
Short-eared owl,Asio,flammeus
Long-eared owl,Asio,otus
Little owl,Athene,noctua
Barn owl,Tyto,alba
Ring-necked parakeet,Psittacula,krameri
Leach's petrel,Hydrobates,leucorhous
Storm petrel,Hydrobates,pelagicus
Grey partridge,Perdix,perdix
Turtle dove,Streptopelia,turtur
Rock pipit,Anthus,petrosus
Grey wagtail,Motacilla,cinerea
Yellow wagtail,Motacilla,flava
Little ringed plover,Charadrius,dubius
Ringed plover,Charadrius,hiaticula
Grey plover,Pluvialis,squatarola
Corncrake,Crex,crex
Water rail,Rallus,aquaticus
Common sandpiper,Actitis,hypoleucos
Turnstone,Arenaria,interpres
Sanderling,Calidris,alba
Purple sandpiper,Calidris,maritima
Bar-tailed godwit,Limosa,lapponica
Black-tailed godwit,Limosa,limosa
Greenshank,Tringa,nebularia
Arctic skua,Stercorarius,parasiticus
Great skua,Stercorarius,skua
Ring ouzel,Turdus,torquatus
Crested tit,Lophophanes,cristatus
Willow tit,Poecile,montanus
Marsh tit,Poecile,palustris
Cetti's warbler,Cettia,cetti
Grasshopper warbler,Locustella,naevia
Wood warbler,Phylloscopus,sibilatrix
Dartford warbler,Sylvia,undata
Waxwing,Bombycilla,garrulus
Lesser spotted woodpecker,Dendrocopos,minor
Green woodpecker,Picus,viridis
Little auk,Alle,alle
Lapland bunting,Calcarius,lapponicus
Bluethroat,Luscinia,svecica
Black redstart,Phoenicurus,ochruros
Crane,Grus,grus
Black-throated diver,Gavia,arctica
Garganey,Anas,querquedula
Snow goose,Anser,caerulescens
Taiga bean goose,Anser,fabalis
Tundra bean goose,Anser,serrirostris
Smew,Mergus,albellus
Red-crested pochard,Netta,rufina
Ruddy duck,Oxyura,jamaicensis
Common redpoll,Acanthis,flammea
Common rosefinch,Carpodacus,erythrinus
Parrot crossbill,Loxia,pytyopsittacus
Serin,Serinus,serinus
Slavonian grebe,Podiceps,auritus
Red-necked grebe,Podiceps,grisegena
Black-necked grebe,Podiceps,nigricollis
Capercaillie,Tetrao,urogallus
Black tern,Chlidonias,niger
Little gull,Hydrocoloeus,minutus
Iceland gull,Larus,glaucoides
Glaucous gull,Larus,hyperboreus
Yellow-legged gull,Larus,michahellis
Roseate tern,Sterna,dougallii
Great white egret,Ardea,alba
Bittern,Botaurus,stellaris
Cattle egret,Bubulcus,ibis
Spoonbill,Platalea,leucorodia
Hoopoe,Upupa,epops
Rough-legged buzzard,Buteo,lagopus
Montagu's harrier,Circus,pygargus
White-tailed eagle,Haliaeetus,albicilla
Honey buzzard,Pernis,apivorus
Shore lark,Eremophila,alpestris
Golden oriole,Oriolus,oriolus
Osprey,Pandion,haliaetus
Great shearwater,Puffinus,gravis
Sooty shearwater,Puffinus,griseus
Balearic shearwater,Puffinus,mauretanicus
Golden pheasant,Chrysolophus,pictus
Quail,Coturnix,coturnix
Water pipit,Anthus,spinoletta
Dotterel,Charadrius,morinellus
Spotted crake,Porzana,porzana
Curlew sandpiper,Calidris,ferruginea
Pectoral sandpiper,Calidris,melanotos
Little stint,Calidris,minuta
Temminck's stint,Calidris,temminckii
Whimbrel,Numenius,phaeopus
Grey phalarope,Phalaropus,fulicarius
Red-necked phalarope,Phalaropus,lobatus
Ruff,Philomachus,pugnax
Spotted redshank,Tringa,erythropus
Wood sandpiper,Tringa,glareola
Green sandpiper,Tringa,ochropus
Red-backed shrike,Lanius,collurio
Great grey shrike,Lanius,excubitor
Long-tailed skua,Stercorarius,longicaudus
Pomarine skua,Stercorarius,pomarinus
Stone-curlew,Burhinus,oedicnemus
Short-toed treecreeper,Certhia,brachydactyla
Aquatic warbler,Acrocephalus,paludicola
Marsh warbler,Acrocephalus,palustris
Savi's warbler,Locustella,luscinioides
Yellow-browed warbler,Phylloscopus,inornatus
Wryneck,Jynx,torquilla
